method,task,dataset,category,num_normal,num_abnormal,promptad_rescore_auc,clip_gallery_top50_auc,resnet18_layer3_gallery_top0.1_auc,resnet18_layer3_dual_raw_clip0.5_resnet0.5_auc,resnet18_layer3_dual_raw_clip0.5_resnet1_auc,resnet18_layer3_dual_raw_clip0.5_resnet1.5_auc,resnet18_layer3_dual_raw_clip0.5_resnet2_auc,resnet18_layer3_dual_raw_clip1_resnet0.5_auc,resnet18_layer3_dual_raw_clip1_resnet1_auc,resnet18_layer3_dual_raw_clip1_resnet1.5_auc,resnet18_layer3_dual_raw_clip1_resnet2_auc,resnet18_layer3_dual_raw_clip1.5_resnet0.5_auc,resnet18_layer3_dual_raw_clip1.5_resnet1_auc,resnet18_layer3_dual_raw_clip1.5_resnet1.5_auc,resnet18_layer3_dual_raw_clip1.5_resnet2_auc,resnet18_layer3_dual_minmax_clip0.5_resnet0.5_auc,resnet18_layer3_dual_minmax_clip0.5_resnet1_auc,resnet18_layer3_dual_minmax_clip0.5_resnet1.5_auc,resnet18_layer3_dual_minmax_clip0.5_resnet2_auc,resnet18_layer3_dual_minmax_clip1_resnet0.5_auc,resnet18_layer3_dual_minmax_clip1_resnet1_auc,resnet18_layer3_dual_minmax_clip1_resnet1.5_auc,resnet18_layer3_dual_minmax_clip1_resnet2_auc,resnet18_layer3_dual_minmax_clip1.5_resnet0.5_auc,resnet18_layer3_dual_minmax_clip1.5_resnet1_auc,resnet18_layer3_dual_minmax_clip1.5_resnet1.5_auc,resnet18_layer3_dual_minmax_clip1.5_resnet2_auc,resnet18_layer3_dual_z_clip0.5_resnet0.5_auc,resnet18_layer3_dual_z_clip0.5_resnet1_auc,resnet18_layer3_dual_z_clip0.5_resnet1.5_auc,resnet18_layer3_dual_z_clip0.5_resnet2_auc,resnet18_layer3_dual_z_clip1_resnet0.5_auc,resnet18_layer3_dual_z_clip1_resnet1_auc,resnet18_layer3_dual_z_clip1_resnet1.5_auc,resnet18_layer3_dual_z_clip1_resnet2_auc,resnet18_layer3_dual_z_clip1.5_resnet0.5_auc,resnet18_layer3_dual_z_clip1.5_resnet1_auc,resnet18_layer3_dual_z_clip1.5_resnet1.5_auc,resnet18_layer3_dual_z_clip1.5_resnet2_auc
spectrum_cls_dual_gallery,cls,spectrum,16QAM,788,774,71.923081,95.004361,99.628471,99.505830,99.614699,99.635029,99.640768,99.172340,99.496157,99.577152,99.606173,98.789825,99.329739,99.491238,99.553378,97.477013,99.050437,99.400405,99.534195,97.850182,98.985099,99.327772,99.475006,97.810012,98.809828,99.210214,99.379255,95.175206,98.066606,98.933617,99.258909,96.577047,98.263192,98.899677,99.188080,96.917424,98.161538,98.748672,99.061012
spectrum_cls_dual_gallery,cls,spectrum,CHIRP,788,774,68.502833,96.232407,99.930646,99.922776,99.948025,99.946550,99.945074,99.798823,99.894739,99.925071,99.934417,99.654048,99.833583,99.885885,99.909167,98.962145,99.938024,99.980981,99.981309,99.332855,99.930646,99.976062,99.980653,99.278093,99.858996,99.950485,99.968028,95.305388,98.867542,99.749308,99.933761,97.547187,99.337117,99.822433,99.941959,98.084642,99.342856,99.762425,99.902609
spectrum_cls_dual_gallery,cls,spectrum,GMSK,788,774,81.044479,94.226544,99.791117,99.794233,99.819810,99.820794,99.818334,99.609780,99.738979,99.771115,99.786363,99.341872,99.660771,99.718812,99.746357,98.882790,99.845551,99.952616,99.960650,98.983460,99.788166,99.919497,99.940483,98.778348,99.621749,99.830467,99.884246,97.424219,99.287602,99.789150,99.922448,97.995940,99.308261,99.734060,99.878179,97.938555,99.092000,99.559117,99.758818
spectrum_cls_dual_gallery,cls,spectrum,QPSK,788,774,62.273656,94.565446,99.622732,99.560428,99.632734,99.641096,99.638964,99.279896,99.558297,99.609616,99.626012,98.938207,99.421556,99.553870,99.592892,94.732683,98.482240,99.230873,99.450413,96.106160,98.653740,99.249400,99.446641,96.695917,98.697681,99.238907,99.434837,91.066088,96.190762,98.130714,98.871804,94.000282,97.111714,98.379438,98.929518,95.145693,97.351257,98.374192,98.879510
spectrum_cls_dual_gallery,cls,spectrum,average,,,70.936012,95.007190,99.743242,99.695817,99.753817,99.760867,99.760785,99.465210,99.672043,99.720738,99.738241,99.180988,99.561412,99.662451,99.700449,97.513658,99.329063,99.641219,99.731642,98.068164,99.339413,99.618183,99.710696,98.140592,99.247064,99.557518,99.666591,94.742725,98.103128,99.150697,99.496731,96.530114,98.505071,99.208902,99.484434,97.021579,98.486913,99.111101,99.400487
