method,task,dataset,scene,jsr,patch_layer,coreset_ratio,freq_window,nn_topk,nn_agg,coreset_method,rowwise_coreset,memory_mode,freq_zscore,row_proto_zscore,position_soft_axis,position_soft_weight,coherence_alpha,coherence_top_ratio,text_auc,vit_patchcore_max_auc,harmonic_text_vit_patchcore_max_auc,vit_patchcore_top0p01_auc,harmonic_text_vit_patchcore_top0p01_auc,vit_patchcore_top0p05_auc,harmonic_text_vit_patchcore_top0p05_auc,vit_patchcore_top0p1_auc,harmonic_text_vit_patchcore_top0p1_auc
vit_patchcore_gallery_cls,cls,burst_signal,WeaponMuseum_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,82.84508440913605,96.64846077457796,96.72293942403178,96.32571996027805,96.30089374379345,94.93545183714002,94.93545183714002,93.19761668321748,93.19761668321748
vit_patchcore_gallery_cls,cls,burst_signal,WeaponMuseum_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,83.25471698113208,95.03475670307846,94.96027805362463,95.1837140019861,95.2085402184707,93.64448857994043,93.66931479642504,91.06256206554121,91.11221449851043
vit_patchcore_gallery_cls,cls,burst_signal,WeaponMuseum_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,76.00546176762663,88.8282025819265,88.85302879841112,89.39920556107249,89.37437934458788,88.23237338629593,88.30685203574976,84.73187686196624,84.85600794438928
vit_patchcore_gallery_cls,cls,chirp_signal,WeaponMuseum_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,94.19978517722879,99.35553168635876,99.35553168635876,98.796992481203,98.796992481203,96.28356605800215,96.39097744360903,94.52201933404942,94.73684210526315
vit_patchcore_gallery_cls,cls,chirp_signal,WeaponMuseum_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,85.25195024246257,97.72296015180265,97.7651275563989,97.55429053341767,97.4910394265233,95.50917141049968,95.53025511279782,93.50621969217794,93.63272190596669
vit_patchcore_gallery_cls,cls,chirp_signal,WeaponMuseum_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,85.22702347005922,97.69686334722527,97.74073261680194,96.51239306865541,96.66593551217373,92.05966220662425,92.19127001535425,89.64685237990788,89.86619872779117
vit_patchcore_gallery_cls,cls,dsss_signal,WeaponMuseum_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,88.69997926601701,93.57246527057848,93.61393323657474,94.21521874352064,94.21521874352064,96.41302094132283,96.43375492432097,97.07650839726311,97.11797636325939
vit_patchcore_gallery_cls,cls,dsss_signal,WeaponMuseum_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,90.58677171884719,93.13705162761767,93.26145552560648,94.11154882852996,94.27742069251504,97.01430644826871,97.07650839726311,97.677793904209,97.71926187020526
vit_patchcore_gallery_cls,cls,dsss_signal,WeaponMuseum_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,78.46775865643791,90.79411154882852,90.87704748082108,91.37466307277629,91.35392908977815,94.48476052249637,94.46402653949824,94.5054945054945,94.52622848849263
vit_patchcore_gallery_cls,cls,pulse_signal,WeaponMuseum_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,85.609243697479,99.95331465919702,99.97665732959851,99.95331465919702,99.95331465919702,98.87955182072828,98.87955182072828,96.89542483660131,96.98879551820728
vit_patchcore_gallery_cls,cls,pulse_signal,WeaponMuseum_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,81.36363636363635,98.06818181818181,98.04545454545455,97.79545454545455,97.86363636363636,92.02272727272727,92.11363636363636,86.02272727272727,86.29545454545455
vit_patchcore_gallery_cls,cls,pulse_signal,WeaponMuseum_spectrum,m40db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,65.75,66.68181818181817,66.77272727272727,65.22727272727272,65.34090909090908,59.15909090909091,59.52272727272727,54.54545454545454,55.340909090909086
vit_patchcore_gallery_cls,cls,deceptive_signal,WeaponMuseum_spectrum,strong,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,89.43236714975846,75.48309178743962,75.84541062801932,76.57004830917874,76.93236714975845,82.0048309178744,82.3671497584541,82.6086956521739,82.85024154589372
vit_patchcore_gallery_cls,cls,deceptive_signal,WeaponMuseum_spectrum,medium,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,89.97584541062803,77.77777777777779,77.89855072463769,79.10628019323671,79.58937198067633,80.31400966183575,80.43478260869566,79.71014492753623,79.83091787439615
vit_patchcore_gallery_cls,cls,deceptive_signal,WeaponMuseum_spectrum,weak,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,89.1304347826087,77.17391304347827,77.53623188405797,75.0,75.48309178743962,78.26086956521739,78.50241545893721,77.17391304347827,77.41545893719807
vit_patchcore_gallery_cls,cls,burst_signal,Playground_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,80.20399047051816,99.92555092316856,99.92555092316856,99.97022036926741,99.97022036926741,99.79154258487195,99.77665276950567,99.04705181655747,99.03216200119118
vit_patchcore_gallery_cls,cls,burst_signal,Playground_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,73.32489577129243,99.91066110780227,99.91066110780227,99.89577129243598,99.89577129243598,99.67242406194163,99.68731387730793,99.06194163192377,99.03216200119118
vit_patchcore_gallery_cls,cls,burst_signal,Playground_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,66.50704225352112,93.84507042253522,93.95774647887323,93.80281690140845,93.87323943661973,92.40845070422536,92.54929577464789,90.70422535211267,90.87323943661973
vit_patchcore_gallery_cls,cls,chirp_signal,Playground_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,93.76969537815127,99.98686974789916,99.98686974789916,99.93434873949579,99.94747899159664,99.00210084033614,99.08088235294117,98.00420168067228,98.109243697479
vit_patchcore_gallery_cls,cls,chirp_signal,Playground_spectrum,m20db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,88.17708333333333,99.64120370370371,99.65277777777779,99.45601851851852,99.45601851851852,97.74305555555556,97.8125,97.08333333333333,97.0949074074074
vit_patchcore_gallery_cls,cls,chirp_signal,Playground_spectrum,m30db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,75.63231850117096,96.47540983606557,96.52224824355973,96.52224824355973,96.47540983606558,95.0585480093677,95.16393442622952,93.19672131147541,93.32552693208432
vit_patchcore_gallery_cls,cls,dsss_signal,Playground_spectrum,m10db,concat,0.1,-1,1,mean,farthest,0,global_nn,0,0,frequency,0.0,0.0,0.05,74.15203984819733,93.78557874762808,93.7262808349146,94.44971537001898,94.36669829222011,96.13377609108159,96.06261859582543,96.82163187855788,96.7860531309298
