method,task,dataset,scene,jsr,promptad_rescore_auc,normal_dist_top50_auc,fusion_raw_lam0.02_auc,fusion_minmax_lam0.02_auc,fusion_z_lam0.02_auc,fusion_raw_lam0.05_auc,fusion_minmax_lam0.05_auc,fusion_z_lam0.05_auc,fusion_raw_lam0.1_auc,fusion_minmax_lam0.1_auc,fusion_z_lam0.1_auc,fusion_raw_lam0.2_auc,fusion_minmax_lam0.2_auc,fusion_z_lam0.2_auc,fusion_raw_lam0.4_auc,fusion_minmax_lam0.4_auc,fusion_z_lam0.4_auc,formal_baseline_auc,delta_promptad_rescore_auc_vs_formal,delta_normal_dist_top50_auc_vs_formal,delta_fusion_raw_lam0.02_auc_vs_formal,delta_fusion_minmax_lam0.02_auc_vs_formal,delta_fusion_z_lam0.02_auc_vs_formal,delta_fusion_raw_lam0.05_auc_vs_formal,delta_fusion_minmax_lam0.05_auc_vs_formal,delta_fusion_z_lam0.05_auc_vs_formal,delta_fusion_raw_lam0.1_auc_vs_formal,delta_fusion_minmax_lam0.1_auc_vs_formal,delta_fusion_z_lam0.1_auc_vs_formal,delta_fusion_raw_lam0.2_auc_vs_formal,delta_fusion_minmax_lam0.2_auc_vs_formal,delta_fusion_z_lam0.2_auc_vs_formal,delta_fusion_raw_lam0.4_auc_vs_formal,delta_fusion_minmax_lam0.4_auc_vs_formal,delta_fusion_z_lam0.4_auc_vs_formal
promptad_normal_gallery_fusion,cls,burst_signal,WeaponMuseum_spectrum,m10db,80.13736263736264,92.8021978021978,81.04395604395604,80.6043956043956,80.6043956043956,82.25274725274726,80.93406593406594,80.93406593406594,84.50549450549451,81.64835164835165,81.64835164835165,87.08791208791209,82.96703296703296,82.96703296703296,89.56043956043955,85.54945054945054,85.54945054945054,90.2747,-10.137337362637354,2.5274978021978,-9.230743956043952,-9.67030439560439,-9.67030439560439,-8.02195274725274,-9.340634065934054,-9.340634065934054,-5.769205494505485,-8.626348351648346,-8.626348351648346,-3.186787912087908,-7.307667032967032,-7.307667032967032,-0.7142604395604479,-4.725249450549455,-4.725249450549455
promptad_normal_gallery_fusion,cls,burst_signal,WeaponMuseum_spectrum,m20db,76.20879120879121,87.1978021978022,77.03296703296704,76.4835164835165,76.4835164835165,78.2967032967033,76.97802197802199,76.97802197802199,80.38461538461539,77.6923076923077,77.58241758241759,82.91208791208791,79.28571428571429,79.23076923076924,85.1098901098901,81.5934065934066,81.7032967032967,85.7692,-9.560408791208786,1.4286021978022063,-8.736232967032961,-9.285683516483502,-9.285683516483502,-7.472496703296699,-8.791178021978013,-8.791178021978013,-5.384584615384611,-8.076892307692304,-8.186782417582407,-2.8571120879120855,-6.483485714285706,-6.538430769230757,-0.6593098901098955,-4.1757934065933995,-4.065903296703297
promptad_normal_gallery_fusion,cls,burst_signal,WeaponMuseum_spectrum,m30db,67.3076923076923,80.76923076923077,67.91208791208791,67.58241758241758,67.58241758241758,68.95604395604396,68.07692307692308,67.91208791208791,70.27472527472527,68.79120879120879,68.57142857142857,73.02197802197803,69.94505494505493,69.67032967032966,76.64835164835165,72.30769230769232,71.86813186813187,73.6264,-6.318707692307697,7.14283076923077,-5.714312087912091,-6.043982417582427,-6.043982417582427,-4.670356043956048,-5.549476923076924,-5.714312087912091,-3.3516747252747336,-4.8351912087912154,-5.0549714285714344,-0.6044219780219748,-3.6813450549450693,-3.9560703296703394,3.0219516483516458,-1.318707692307683,-1.7582681318681352
promptad_normal_gallery_fusion,cls,burst_signal,Playground_spectrum,m10db,82.53703703703704,98.37037037037038,83.5925925925926,83.25925925925925,83.11111111111111,85.03703703703702,84.22222222222221,83.74074074074073,86.62962962962962,85.59259259259258,85.03703703703702,88.96296296296296,87.5925925925926,86.5185185185185,91.81481481481481,90.07407407407408,88.92592592592592,100.0,-17.462962962962962,-1.629629629629619,-16.407407407407405,-16.740740740740748,-16.888888888888886,-14.962962962962976,-15.777777777777786,-16.259259259259267,-13.370370370370381,-14.407407407407419,-14.962962962962976,-11.037037037037038,-12.407407407407405,-13.481481481481495,-8.18518518518519,-9.925925925925924,-11.074074074074076
promptad_normal_gallery_fusion,cls,burst_signal,Playground_spectrum,m20db,79.51851851851852,95.29629629629629,80.48148148148148,80.29629629629629,80.25925925925925,81.29629629629629,80.7037037037037,80.55555555555556,82.77777777777777,81.96296296296298,81.33333333333333,85.07407407407408,83.92592592592594,82.85185185185185,87.66666666666667,85.88888888888889,85.07407407407408,99.1852,-19.666681481481476,-3.888903703703704,-18.703718518518514,-18.888903703703704,-18.925940740740742,-17.888903703703704,-18.4814962962963,-18.629644444444438,-16.407422222222223,-17.22223703703702,-17.851866666666666,-14.111125925925919,-15.259274074074057,-16.333348148148147,-11.518533333333323,-13.296311111111109,-14.111125925925919
promptad_normal_gallery_fusion,cls,burst_signal,Playground_spectrum,m30db,68.62571022727272,79.72301136363636,69.2471590909091,69.0340909090909,69.06960227272727,69.921875,69.46022727272727,69.46022727272727,71.16477272727273,70.13494318181816,70.13494318181816,73.15340909090908,71.3778409090909,71.44886363636363,74.85795454545455,73.5440340909091,73.57954545454545,86.9673,-18.341589772727275,-7.244288636363635,-17.7201409090909,-17.933209090909088,-17.89769772727273,-17.045424999999994,-17.50707272727273,-17.50707272727273,-15.80252727272726,-16.832356818181836,-16.832356818181836,-13.813890909090915,-15.589459090909088,-15.518436363636368,-12.109345454545448,-13.423265909090901,-13.387754545454541
promptad_normal_gallery_fusion,cls,burst_signal,TimeSquare_spectrum,m10db,94.40860215053763,93.584229390681,95.3405017921147,95.0179211469534,94.80286738351255,96.27240143369175,95.77060931899642,95.51971326164875,97.4910394265233,96.55913978494624,96.27240143369175,98.5663082437276,97.84946236559139,97.4910394265233,99.24731182795699,98.81720430107528,98.5663082437276,99.7133,-5.3046978494623716,-6.129070609319001,-4.37279820788531,-4.695378853046606,-4.910432616487455,-3.440898566308249,-3.942690681003583,-4.193586738351257,-2.222260573476703,-3.154160215053764,-3.440898566308249,-1.1469917562723992,-1.8638376344086112,-2.222260573476703,-0.4659881720430121,-0.8960956989247251,-1.1469917562723992
promptad_normal_gallery_fusion,cls,burst_signal,TimeSquare_spectrum,m20db,93.22222222222221,92.22222222222223,94.33333333333334,93.92592592592592,93.88888888888889,95.14814814814815,94.44444444444444,94.44444444444444,96.44444444444444,95.37037037037037,95.14814814814815,98.18518518518519,96.81481481481482,96.62962962962963,99.22222222222221,98.29629629629629,98.22222222222223,98.5185,-5.296277777777789,-6.2962777777777745,-4.18516666666666,-4.592574074074079,-4.629611111111117,-3.3703518518518507,-4.07405555555556,-4.07405555555556,-2.07405555555556,-3.1481296296296364,-3.3703518518518507,-0.3333148148148126,-1.7036851851851793,-1.8888703703703698,0.7037222222222113,-0.22220370370371256,-0.29627777777777453
promptad_normal_gallery_fusion,cls,burst_signal,TimeSquare_spectrum,m30db,87.1111111111111,86.03703703703704,87.81481481481482,87.55555555555556,87.55555555555556,88.77777777777777,88.07407407407408,88.07407407407408,89.85185185185186,88.96296296296296,89.00000000000001,91.62962962962963,90.37037037037038,90.37037037037038,93.77777777777777,92.74074074074073,92.74074074074073,88.7407,-1.6295888888889039,-2.703662962962966,-0.9258851851851801,-1.1851444444444468,-1.1851444444444468,0.03707777777776755,-0.6666259259259277,-0.6666259259259277,1.111151851851858,0.222262962962958,0.2593000000000103,2.8889296296296294,1.629670370370377,1.629670370370377,5.0370777777777676,4.0000407407407295,4.0000407407407295
promptad_normal_gallery_fusion,cls,burst_signal,Gymnasium_spectrum,m10db,87.921146953405,99.2831541218638,88.70967741935483,88.31541218637993,88.31541218637993,90.17921146953405,88.49462365591397,88.5663082437276,91.32616487455196,89.35483870967742,89.56989247311827,93.26164874551972,90.68100358422939,90.86021505376343,95.98566308243728,91.86379928315411,92.25806451612904,100.0,-12.078853046595,-0.7168458781361977,-11.290322580645167,-11.68458781362007,-11.68458781362007,-9.820788530465947,-11.50537634408603,-11.433691756272395,-8.673835125448036,-10.645161290322577,-10.430107526881727,-6.738351254480278,-9.318996415770613,-9.139784946236574,-4.014336917562716,-8.136200716845892,-7.741935483870961
