dataset,scene,jsr,promptad_auc,normal_auc,raw_lam0_auc,minmax_lam0_auc,z_lam0_auc,raw_lam0.02_auc,minmax_lam0.02_auc,z_lam0.02_auc,raw_lam0.05_auc,minmax_lam0.05_auc,z_lam0.05_auc,raw_lam0.1_auc,minmax_lam0.1_auc,z_lam0.1_auc,raw_lam0.2_auc,minmax_lam0.2_auc,z_lam0.2_auc,raw_lam0.4_auc,minmax_lam0.4_auc,z_lam0.4_auc,raw_lam0.8_auc,minmax_lam0.8_auc,z_lam0.8_auc,raw_lam1_auc,minmax_lam1_auc,z_lam1_auc,raw_lam1.5_auc,minmax_lam1.5_auc,z_lam1.5_auc,raw_lam2_auc,minmax_lam2_auc,z_lam2_auc,raw_lam3_auc,minmax_lam3_auc,z_lam3_auc,raw_lam5_auc,minmax_lam5_auc,z_lam5_auc,raw_lam10_auc,minmax_lam10_auc,z_lam10_auc
burst_signal,Gymnasium_spectrum,m10db,87.921146953405,99.2831541218638,87.921146953405,87.921146953405,87.921146953405,88.70967741935483,88.31541218637993,88.31541218637993,90.17921146953405,88.49462365591397,88.5663082437276,91.32616487455196,89.35483870967742,89.56989247311827,93.26164874551972,90.68100358422939,90.86021505376343,95.98566308243728,91.86379928315411,92.25806451612904,97.4910394265233,94.98207885304659,95.48387096774194,97.8853046594982,95.69892473118279,95.87813620071685,98.63799283154123,96.70250896057347,97.02508960573478,99.10394265232975,97.27598566308244,97.41935483870967,99.39068100358423,97.92114695340501,97.99283154121864,99.42652329749104,98.88888888888889,99.06810035842294,99.42652329749104,99.35483870967742,99.39068100358423
burst_signal,Gymnasium_spectrum,m20db,87.44673295454545,97.23011363636364,87.44673295454545,87.44673295454545,87.44673295454545,88.10369318181819,87.67755681818183,87.67755681818183,88.99147727272727,87.92613636363636,88.06818181818183,90.30539772727273,88.7784090909091,88.88494318181819,92.2940340909091,89.48863636363636,89.80823863636364,94.921875,91.015625,91.33522727272727,96.30681818181817,93.359375,94.0340909090909,96.41335227272728,94.35369318181819,94.77982954545455,96.69744318181817,95.34801136363636,95.73863636363636,96.875,95.91619318181817,96.23579545454545,97.05255681818181,96.44886363636364,96.484375,97.15909090909089,96.69744318181819,96.91051136363636,97.19460227272728,97.01704545454545,97.05255681818181
burst_signal,Gymnasium_spectrum,m30db,81.5340909090909,91.83238636363636,81.5340909090909,81.5340909090909,81.5340909090909,81.99573863636364,81.78267045454545,81.78267045454545,82.5284090909091,82.10227272727273,82.10227272727273,83.45170454545455,82.5284090909091,82.49289772727273,84.80113636363636,83.23863636363636,83.27414772727273,86.78977272727273,84.6590909090909,84.6590909090909,89.55965909090908,86.328125,86.39914772727273,90.26988636363636,87.3934659090909,87.42897727272727,90.83806818181817,88.99147727272727,89.13352272727273,90.9090909090909,89.98579545454545,90.02130681818183,90.87357954545455,90.73153409090908,90.76704545454545,91.19318181818183,90.98011363636364,91.015625,91.93892045454545,91.19318181818183,91.19318181818183
burst_signal,Playground_spectrum,m10db,82.53703703703704,98.37037037037038,82.53703703703704,82.53703703703704,82.53703703703704,83.5925925925926,83.25925925925925,83.11111111111111,85.03703703703702,84.22222222222221,83.74074074074073,86.62962962962962,85.59259259259258,85.03703703703702,88.96296296296296,87.5925925925926,86.5185185185185,91.81481481481481,90.07407407407408,88.92592592592592,94.07407407407406,92.96296296296296,91.77777777777779,94.77777777777779,93.62962962962962,92.51851851851852,95.77777777777779,94.77777777777779,93.77777777777779,96.66666666666667,95.51851851851852,94.62962962962962,97.44444444444444,96.74074074074075,95.5925925925926,97.85185185185186,97.59259259259258,97.03703703703704,98.14814814814814,97.96296296296296,97.85185185185186
burst_signal,Playground_spectrum,m20db,79.51851851851852,95.29629629629629,79.51851851851852,79.51851851851852,79.51851851851852,80.48148148148148,80.29629629629629,80.25925925925925,81.29629629629629,80.7037037037037,80.55555555555556,82.77777777777777,81.96296296296298,81.33333333333333,85.07407407407408,83.92592592592594,82.85185185185185,87.66666666666667,85.88888888888889,85.07407407407408,90.14814814814814,88.5925925925926,87.70370370370371,91.11111111111111,89.55555555555556,88.40740740740742,92.48148148148148,91.14814814814814,89.96296296296296,93.37037037037037,92.25925925925925,91.14814814814815,94.07407407407406,93.37037037037037,92.51851851851852,94.7037037037037,94.2962962962963,93.81481481481482,95.0,94.85185185185185,94.77777777777777
burst_signal,Playground_spectrum,m30db,68.62571022727272,79.72301136363636,68.62571022727272,68.62571022727272,68.62571022727272,69.2471590909091,69.0340909090909,69.06960227272727,69.921875,69.46022727272727,69.46022727272727,71.16477272727273,70.13494318181816,70.13494318181816,73.15340909090908,71.3778409090909,71.44886363636363,74.85795454545455,73.5440340909091,73.57954545454545,76.38494318181819,75.21306818181817,75.21306818181819,76.5625,75.81676136363636,75.88778409090908,77.16619318181819,76.45596590909089,76.45596590909089,77.6278409090909,76.70454545454545,76.70454545454545,78.40909090909089,77.37926136363636,77.45028409090908,79.04829545454545,78.37357954545455,78.4090909090909,79.296875,79.1903409090909,79.22585227272727
burst_signal,TimeSquare_spectrum,m10db,94.40860215053763,93.584229390681,94.40860215053763,94.40860215053763,94.40860215053763,95.3405017921147,95.0179211469534,94.80286738351255,96.27240143369175,95.77060931899642,95.51971326164875,97.4910394265233,96.55913978494624,96.27240143369175,98.5663082437276,97.84946236559139,97.4910394265233,99.24731182795699,98.81720430107528,98.5663082437276,99.42652329749103,99.31899641577061,99.24731182795699,99.53405017921146,99.35483870967742,99.31899641577061,99.39068100358423,99.46236559139786,99.39068100358423,98.88888888888889,99.49820788530465,99.53405017921146,97.77777777777779,99.10394265232975,99.39068100358423,96.59498207885305,97.8136200716846,98.24372759856632,95.16129032258065,96.34408602150538,96.59498207885305
burst_signal,TimeSquare_spectrum,m20db,93.22222222222221,92.22222222222223,93.22222222222221,93.22222222222221,93.22222222222221,94.33333333333334,93.92592592592592,93.88888888888889,95.14814814814815,94.44444444444444,94.44444444444444,96.44444444444444,95.37037037037037,95.14814814814815,98.18518518518519,96.81481481481482,96.62962962962963,99.22222222222221,98.29629629629629,98.22222222222223,99.25925925925925,99.33333333333333,99.25925925925925,99.14814814814814,99.4074074074074,99.37037037037037,98.44444444444444,99.25925925925925,99.22222222222223,97.88888888888889,98.92592592592592,99.07407407407408,96.77777777777777,98.1111111111111,98.25925925925925,95.5925925925926,97.14814814814815,97.22222222222221,94.03703703703704,95.37037037037037,95.55555555555556
burst_signal,TimeSquare_spectrum,m30db,87.1111111111111,86.03703703703704,87.1111111111111,87.1111111111111,87.1111111111111,87.81481481481482,87.55555555555556,87.55555555555556,88.77777777777777,88.07407407407408,88.07407407407408,89.85185185185186,88.96296296296296,89.00000000000001,91.62962962962963,90.37037037037038,90.37037037037038,93.77777777777777,92.74074074074073,92.74074074074073,94.5925925925926,94.62962962962962,94.62962962962962,94.29629629629629,94.74074074074073,94.7037037037037,92.62962962962963,94.33333333333334,94.33333333333334,91.66666666666667,93.18518518518519,93.18518518518519,90.33333333333331,91.77777777777777,91.77777777777777,88.74074074074075,90.18518518518518,90.18518518518518,87.8148148148148,88.37037037037038,88.37037037037038
burst_signal,WeaponMuseum_spectrum,m10db,80.13736263736264,92.8021978021978,80.13736263736264,80.13736263736264,80.13736263736264,81.04395604395604,80.6043956043956,80.6043956043956,82.25274725274726,80.93406593406594,80.93406593406594,84.50549450549451,81.64835164835165,81.64835164835165,87.08791208791209,82.96703296703296,82.96703296703296,89.56043956043955,85.54945054945054,85.54945054945054,91.81318681318682,88.51648351648352,88.40659340659342,92.25274725274724,89.12087912087912,89.01098901098902,92.52747252747253,90.71428571428571,90.6043956043956,92.69230769230768,91.26373626373626,91.15384615384615,93.18681318681318,92.25274725274724,92.25274725274724,93.18681318681318,92.69230769230768,92.69230769230768,93.13186813186813,93.02197802197803,93.02197802197803
