source,anomaly,dataset,scene,protocol,feature,m10db,m20db,m30db,m40db,mean,result_source
RF_SPE_PNG + rf_open legacy,Burst,rf_open + rf_spe_png,single_source,k_1 (legacy m10-m30) + public-normal (m40),optimized_spectral_gradient,98.5300,97.1600,94.1000,84.3100,93.5250,legacy rf_open for m10-m30; optimized spectral gradient used at m40 supplementary experiment
RF_SPE_PNG + rf_open legacy,Chirp,rf_open + rf_spe_png,single_source,k_1 (legacy m10-m30) + public-normal (m40),optimized_spectral_gradient,100.0000,100.0000,99.9900,98.9700,99.7400,legacy rf_open for m10-m30; optimized spectral gradient used at m40 supplementary experiment
RF_SPE_PNG + rf_open legacy,DSSS,rf_open + rf_spe_png,single_source,k_1 (legacy m10-m30) + public-normal (m40),dsss_weak_residual,97.1600,96.0800,86.9100,69.2100,87.3400,legacy rf_open for m10-m30; dsss weak residual used at m40 supplementary experiment
RF_SPE_PNG,Wideband pulse,wideband_pulse_png + rf_spe_png,single_source,k_1 (m20-m40 single-source),rgb,,98.1700,98.6300,94.0400,96.9467,result_wideband_pulse_png/rf_rgb/... for m20-m40
RF_SPE_PNG mixed protocols,ALL_AVAILABLE,ALL_AVAILABLE,Mean,mixed_k_1_and_public_normal,morphology_aware_selection,98.5633,97.8525,94.9075,86.6325,94.3879,aggregated from rows above; m50db retained only in supplementary records
