shot,method,scope,n,num_normal,num_abnormal,auroc,auprc,fpr95
1,vit_patchcore,overall,7200,1800,5400,85.15676440329219,95.22630630838853,78.61111111111111
1,vit_patchcore,pulse,3600,1800,1800,90.36947530864198,92.89099735567714,64.88888888888889
1,vit_patchcore,single_tone,3600,1800,1800,94.58773148148148,95.88527810534673,39.44444444444444
1,vit_patchcore,wideband,3600,1800,1800,70.5130864197531,75.35125233307416,90.55555555555556
1,vit_patchcore,macro_attack,7200,1800,5400,85.15676440329219,88.04250926469935,64.96296296296296
1,cnn_layer3_top0.1,overall,7200,1800,5400,75.11623456790123,91.00489919462814,84.55555555555556
1,cnn_layer3_top0.1,pulse,3600,1800,1800,78.55430555555556,82.63433444260747,82.16666666666667
1,cnn_layer3_top0.1,single_tone,3600,1800,1800,84.47226851851852,87.31725025506363,69.83333333333334
1,cnn_layer3_top0.1,wideband,3600,1800,1800,62.32212962962962,65.72786723526718,91.11111111111111
1,cnn_layer3_top0.1,macro_attack,7200,1800,5400,75.11623456790123,78.55981731097943,81.03703703703704
1,confidence_gated_dual_visual,overall,7200,1800,5400,85.16186213991769,95.22738940350241,78.61111111111111
1,confidence_gated_dual_visual,pulse,3600,1800,1800,90.38354938271605,92.89553775799983,64.61111111111111
1,confidence_gated_dual_visual,single_tone,3600,1800,1800,94.5942438271605,95.88798201426481,39.27777777777778
1,confidence_gated_dual_visual,wideband,3600,1800,1800,70.50779320987655,75.34845329914901,90.83333333333333
1,confidence_gated_dual_visual,macro_attack,7200,1800,5400,85.1618621399177,88.04399102380455,64.9074074074074
2,vit_patchcore,overall,7200,1800,5400,85.6657304526749,95.3130860536384,74.33333333333333
2,vit_patchcore,pulse,3600,1800,1800,90.71364197530865,92.78796180452431,58.27777777777777
2,vit_patchcore,single_tone,3600,1800,1800,94.05015432098766,95.36992002034775,43.72222222222222
2,vit_patchcore,wideband,3600,1800,1800,72.2333950617284,76.58168321128372,86.22222222222223
2,vit_patchcore,macro_attack,7200,1800,5400,85.6657304526749,88.2465216787186,62.74074074074074
2,cnn_layer3_top0.1,overall,7200,1800,5400,79.3988940329218,92.70377162293173,79.05555555555556
2,cnn_layer3_top0.1,pulse,3600,1800,1800,81.71540123456789,85.26489531861769,76.77777777777777
2,cnn_layer3_top0.1,single_tone,3600,1800,1800,88.11611111111111,90.22608306460837,61.72222222222222
2,cnn_layer3_top0.1,wideband,3600,1800,1800,68.36516975308642,71.27377663788343,85.27777777777777
2,cnn_layer3_top0.1,macro_attack,7200,1800,5400,79.39889403292182,82.25491834036983,74.5925925925926
2,confidence_gated_dual_visual,overall,7200,1800,5400,85.99329218106998,95.4127751293027,72.61111111111111
2,confidence_gated_dual_visual,pulse,3600,1800,1800,90.95697530864197,92.92001662440798,56.888888888888886
2,confidence_gated_dual_visual,single_tone,3600,1800,1800,94.36104938271603,95.5685741313412,40.77777777777778
2,confidence_gated_dual_visual,wideband,3600,1800,1800,72.66185185185185,76.88079660400426,86.77777777777777
2,confidence_gated_dual_visual,macro_attack,7200,1800,5400,85.99329218106995,88.45646245325115,61.481481481481474
4,vit_patchcore,overall,7200,1800,5400,86.20371399176955,95.43979740699227,72.77777777777777
4,vit_patchcore,pulse,3600,1800,1800,90.94922839506174,92.79064546042093,55.388888888888886
4,vit_patchcore,single_tone,3600,1800,1800,93.9278086419753,95.19714255159701,43.0
4,vit_patchcore,wideband,3600,1800,1800,73.7341049382716,77.5602986808045,83.72222222222221
4,vit_patchcore,macro_attack,7200,1800,5400,86.20371399176956,88.51602889760748,60.703703703703695
4,cnn_layer3_top0.1,overall,7200,1800,5400,83.26731481481482,94.09215136598552,69.27777777777779
4,cnn_layer3_top0.1,pulse,3600,1800,1800,85.18254629629631,87.74553896432157,66.83333333333333
4,cnn_layer3_top0.1,single_tone,3600,1800,1800,91.0887037037037,92.50654424110233,48.833333333333336
4,cnn_layer3_top0.1,wideband,3600,1800,1800,73.53069444444445,75.40124171084409,77.16666666666666
4,cnn_layer3_top0.1,macro_attack,7200,1800,5400,83.26731481481482,85.21777497208933,64.27777777777777
4,confidence_gated_dual_visual,overall,7200,1800,5400,86.33248971193414,95.46951434404116,71.55555555555554
4,confidence_gated_dual_visual,pulse,3600,1800,1800,91.03188271604938,92.81939959458619,55.50000000000001
4,confidence_gated_dual_visual,single_tone,3600,1800,1800,94.00564814814814,95.2291943792418,41.833333333333336
4,confidence_gated_dual_visual,wideband,3600,1800,1800,73.95993827160494,77.64032369272604,82.5
4,confidence_gated_dual_visual,macro_attack,7200,1800,5400,86.33248971193416,88.56297255551802,59.94444444444445
